category,section,range,code,description,keywords
Category III,Temporary Codes,0000T–9999T,0003T,Cervicography,cervicography
Category III,Temporary Codes,0000T–9999T,0008T,Upper gi endoscopy w/suture,upper gi endoscopy w/suture
Category III,Temporary Codes,0000T–9999T,0010T,"""Tb test, gamma interferon""","""tb test, gamma interferon"""
Category III,Temporary Codes,0000T–9999T,0016T,Thermotx choroid vasc lesion,thermotx choroid vasc lesion
Category III,Temporary Codes,0000T–9999T,0017T,Photocoagulat macular drusen,photocoagulat macular drusen
Category III,Temporary Codes,0000T–9999T,0018T,Transcranial magnetic stimul,transcranial magnetic stimul
Category III,Temporary Codes,0000T–9999T,0019T,"""Extracorp shock wave tx, ms""","""extracorp shock wave tx, ms"""
Category III,Temporary Codes,0000T–9999T,0020T,"""Extracorp shock wave tx, ft""","""extracorp shock wave tx, ft"""
Category III,Temporary Codes,0000T–9999T,0021T,"""Fetal oximetry, trnsvag/cerv""","""fetal oximetry, trnsvag/cerv"""
Category III,Temporary Codes,0000T–9999T,0023T,"""Phenotype drug test, hiv 1""","""phenotype drug test, hiv 1"""
Category III,Temporary Codes,0000T–9999T,0024T,Transcath cardiac reduction,transcath cardiac reduction
Category III,Temporary Codes,0000T–9999T,0026T,Measure remnant lipoproteins,measure remnant lipoproteins
Category III,Temporary Codes,0000T–9999T,0027T,Endoscopic epidural lysis,endoscopic epidural lysis
Category III,Temporary Codes,0000T–9999T,0028T,Dexa body composition study,dexa body composition study
Category III,Temporary Codes,0000T–9999T,0029T,Magnetic tx for incontinence,magnetic tx for incontinence
Category III,Temporary Codes,0000T–9999T,0030T,Antiprothrombin antibody,antiprothrombin antibody
Category III,Temporary Codes,0000T–9999T,0031T,Speculoscopy,speculoscopy
Category III,Temporary Codes,0000T–9999T,0032T,Speculoscopy w/direct sample,speculoscopy w/direct sample
Category III,Temporary Codes,0000T–9999T,0033T,Endovasc taa repr incl subcl,endovasc taa repr incl subcl
Category III,Temporary Codes,0000T–9999T,0034T,Endovasc taa repr w/o subcl,endovasc taa repr w/o subcl
Category III,Temporary Codes,0000T–9999T,0035T,"""Insert endovasc prosth, taa""","""insert endovasc prosth, taa"""
Category III,Temporary Codes,0000T–9999T,0036T,"""Endovasc prosth, taa, add-on""","""endovasc prosth, taa, add-on"""
Category III,Temporary Codes,0000T–9999T,0037T,Artery transpose/endovas taa,artery transpose/endovas taa
Category III,Temporary Codes,0000T–9999T,0038T,Rad endovasc taa rpr w/cover,rad endovasc taa rpr w/cover
Category III,Temporary Codes,0000T–9999T,0039T,"""Rad s/i, endovasc taa repair""","""rad s/i, endovasc taa repair"""
Category III,Temporary Codes,0000T–9999T,0040T,"""Rad s/i, endovasc taa prosth""","""rad s/i, endovasc taa prosth"""
Category III,Temporary Codes,0000T–9999T,0041T,Detect ur infect agnt w/cpas,detect ur infect agnt w/cpas
Category III,Temporary Codes,0000T–9999T,0042T,"""Ct perfusion w/contrast, cbf""","""ct perfusion w/contrast, cbf"""
Category III,Temporary Codes,0000T–9999T,0043T,Co expired gas analysis,co expired gas analysis
Category III,Temporary Codes,0000T–9999T,0044T,Whole body photography,whole body photography
Category III,Temporary Codes,0000T–9999T,0045T,Whole body photography,whole body photography
Category III,Temporary Codes,0000T–9999T,0046T,"""Cath lavage, mammary duct(s""","""cath lavage, mammary duct(s"""
Category III,Temporary Codes,0000T–9999T,0047T,"""Cath lavage, mammary duct(s)""","""cath lavage, mammary duct(s)"""
Category III,Temporary Codes,0000T–9999T,0048T,Implant ventricular device,implant ventricular device
Category III,Temporary Codes,0000T–9999T,0049T,External circulation assist,external circulation assist
Category III,Temporary Codes,0000T–9999T,0050T,Removal circulation assist,removal circulation assist
Category III,Temporary Codes,0000T–9999T,0051T,Implant total heart system,implant total heart system
Category III,Temporary Codes,0000T–9999T,0052T,Replace component heart syst,replace component heart syst
Category III,Temporary Codes,0000T–9999T,0053T,Replace component heart syst,replace component heart syst
Category III,Temporary Codes,0000T–9999T,0054T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0055T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0056T,Bone surgery using computer,bone surgery using computer
Category III,Temporary Codes,0000T–9999T,0058T,"""Cryopreservation, ovary tiss""","""cryopreservation, ovary tiss"""
Category III,Temporary Codes,0000T–9999T,0059T,"""Cryopreservation, oocyte""","""cryopreservation, oocyte"""
Category III,Temporary Codes,0000T–9999T,0060T,Electrical impedance scan,electrical impedance scan
Category III,Temporary Codes,0000T–9999T,0061T,"""Destruction of tumor, breast""","""destruction of tumor, breast"""
Category III,Temporary Codes,0000T–9999T,0062T,Rep intradisc annulus;1 lev,rep intradisc annulus;1 lev
Category III,Temporary Codes,0000T–9999T,0063T,Rep intradisc annulus;>1lev,rep intradisc annulus;>1lev
Category III,Temporary Codes,0000T–9999T,0064T,Spectroscop eval expired gas,spectroscop eval expired gas
Category III,Temporary Codes,0000T–9999T,0065T,Ocular photoscreen bilat,ocular photoscreen bilat
Category III,Temporary Codes,0000T–9999T,0066T,Ct colonography;screen,ct colonography;screen
Category III,Temporary Codes,0000T–9999T,0067T,Ct colonography;dx,ct colonography;dx
Category III,Temporary Codes,0000T–9999T,0068T,Interp/rept heart sound,interp/rept heart sound
Category III,Temporary Codes,0000T–9999T,0069T,Analysis only heart sound,analysis only heart sound
Category III,Temporary Codes,0000T–9999T,0070T,Interp only heart sound,interp only heart sound
Category III,Temporary Codes,0000T–9999T,0071T,U/s leiomyomata ablate <200,u/s leiomyomata ablate <200
Category III,Temporary Codes,0000T–9999T,0072T,U/s leiomyomata ablate >200,u/s leiomyomata ablate >200
Category III,Temporary Codes,0000T–9999T,0073T,"""Delivery, comp imrt""","""delivery, comp imrt"""
Category III,Temporary Codes,0000T–9999T,0074T,Online physician e/m,online physician e/m
Category III,Temporary Codes,0000T–9999T,0075T,Perq stent/chest vert art,perq stent/chest vert art
Category III,Temporary Codes,0000T–9999T,0076T,S&i stent/chest vert art,s&i stent/chest vert art
Category III,Temporary Codes,0000T–9999T,0077T,Cereb therm perfusion probe,cereb therm perfusion probe
Category III,Temporary Codes,0000T–9999T,0078T,Endovasc aort repr w/device,endovasc aort repr w/device
Category III,Temporary Codes,0000T–9999T,0079T,Endovasc visc extnsn repr,endovasc visc extnsn repr
Category III,Temporary Codes,0000T–9999T,0080T,Endovasc aort repr rad s&i,endovasc aort repr rad s&i
Category III,Temporary Codes,0000T–9999T,0081T,Endovasc visc extnsn s&i,endovasc visc extnsn s&i
Category III,Temporary Codes,0000T–9999T,0082T,Stereotactic rad delivery,stereotactic rad delivery
Category III,Temporary Codes,0000T–9999T,0083T,Stereotactic rad tx mngmt,stereotactic rad tx mngmt
Category III,Temporary Codes,0000T–9999T,0084T,Temp prostate urethral stent,temp prostate urethral stent
Category III,Temporary Codes,0000T–9999T,0085T,Breath test heart reject,breath test heart reject
Category III,Temporary Codes,0000T–9999T,0086T,L ventricle fill pressure,l ventricle fill pressure
Category III,Temporary Codes,0000T–9999T,0087T,Sperm eval hyaluronan,sperm eval hyaluronan
Category III,Temporary Codes,0000T–9999T,0088T,Rf tongue base vol reduxn,rf tongue base vol reduxn
Category II,Performance Measures,0000F–9999F,0500F,Initial prenatal care visit,initial prenatal care visit
Category II,Performance Measures,0000F–9999F,0501F,Prenatal flow sheet,prenatal flow sheet
Category II,Performance Measures,0000F–9999F,0502F,Subsequent prenatal care,subsequent prenatal care
Category II,Performance Measures,0000F–9999F,0503F,Postpartum care visit,postpartum care visit
Category II,Performance Measures,0000F–9999F,1000F,"""Tobacco use, smoking, assess""","""tobacco use, smoking, assess"""
Category II,Performance Measures,0000F–9999F,1001F,"""Tobacco use, non-smoking""","""tobacco use, non-smoking"""
Category I,Surgery – Integumentary,10000–19999,10021,Fna w/o image,fna w/o image
Category I,Surgery – Integumentary,10000–19999,10022,Fna w/image,fna w/image
Category II,Performance Measures,0000F–9999F,1002F,Assess anginal symptom/level,assess anginal symptom/level
Category I,Surgery – Integumentary,10000–19999,10040,Acne surgery,acne surgery
Category I,Surgery – Integumentary,10000–19999,10060,Drainage of skin abscess,drainage of skin abscess
Category I,Surgery – Integumentary,10000–19999,10061,Drainage of skin abscess,drainage of skin abscess
Category I,Surgery – Integumentary,10000–19999,10080,Drainage of pilonidal cyst,drainage of pilonidal cyst
Category I,Surgery – Integumentary,10000–19999,10081,Drainage of pilonidal cyst,drainage of pilonidal cyst
Category I,Surgery – Integumentary,10000–19999,10120,Remove foreign body,remove foreign body
Category I,Surgery – Integumentary,10000–19999,10121,Remove foreign body,remove foreign body
Category I,Surgery – Integumentary,10000–19999,10140,Drainage of hematoma/fluid,drainage of hematoma/fluid
